datetime,open,high,low,close
2025-02-25 00:45:00+00:00,1.04618,1.04645,1.0461,1.04633
2025-02-25 01:00:00+00:00,1.04635,1.04661,1.0462,1.04631
2025-02-25 01:15:00+00:00,1.04632,1.04639,1.04604,1.046292
2025-02-25 01:30:00+00:00,1.046312,1.04646,1.04606,1.046368
2025-02-25 01:45:00+00:00,1.046358,1.04661,1.04622,1.04652
2025-02-25 02:00:00+00:00,1.046533,1.04699,1.04649,1.04689
2025-02-25 02:15:00+00:00,1.046867,1.0471,1.04651,1.04686
2025-02-25 02:30:00+00:00,1.04686,1.04724,1.04681,1.04719
2025-02-25 02:45:00+00:00,1.047173,1.04755,1.04705,1.047467
2025-02-25 03:00:00+00:00,1.047467,1.04768,1.04728,1.047415
2025-02-25 03:15:00+00:00,1.047415,1.04746,1.04712,1.04729
2025-02-25 03:30:00+00:00,1.04727,1.04749,1.04721,1.04739
2025-02-25 03:45:00+00:00,1.0474,1.04754,1.04724,1.04733
2025-02-25 04:00:00+00:00,1.04733,1.04758,1.04726,1.047518
2025-02-25 04:15:00+00:00,1.047513,1.04777,1.04745,1.04764
2025-02-25 04:30:00+00:00,1.04763,1.04773,1.04728,1.0475
2025-02-25 04:45:00+00:00,1.04756,1.04759,1.04723,1.04733
2025-02-25 05:00:00+00:00,1.0473,1.04742,1.04721,1.04731
2025-02-25 05:15:00+00:00,1.04731,1.04755,1.0472,1.04747
2025-02-25 05:30:00+00:00,1.04746,1.04777,1.04733,1.047557
2025-02-25 05:45:00+00:00,1.047538,1.04786,1.0475,1.04771
2025-02-25 06:00:00+00:00,1.0477,1.04778,1.04751,1.04768
2025-02-25 06:15:00+00:00,1.0477,1.04806,1.0476,1.047837
2025-02-25 06:30:00+00:00,1.047837,1.04793,1.04741,1.04767
2025-02-25 06:45:00+00:00,1.04769,1.04781,1.04723,1.047697
2025-02-25 07:00:00+00:00,1.0477,1.04782,1.04666,1.04707
2025-02-25 07:15:00+00:00,1.04709,1.0476,1.0468,1.04734
2025-02-25 07:30:00+00:00,1.04731,1.04735,1.04664,1.04691
2025-02-25 07:45:00+00:00,1.0469,1.04738,1.04632,1.046442
2025-02-25 08:00:00+00:00,1.046442,1.04787,1.04559,1.047732
2025-02-25 08:15:00+00:00,1.047722,1.04792,1.0466,1.046733
2025-02-25 08:30:00+00:00,1.046747,1.04679,1.04583,1.046
2025-02-25 08:45:00+00:00,1.04651,1.04725,1.04643,1.04703
2025-02-25 09:00:00+00:00,1.04703,1.04747,1.04686,1.0471
2025-02-25 09:15:00+00:00,1.04706,1.04794,1.04702,1.0474
2025-02-25 09:30:00+00:00,1.04738,1.04757,1.04696,1.04708
2025-02-25 09:45:00+00:00,1.04709,1.04743,1.04683,1.047313
2025-02-25 10:00:00+00:00,1.0474,1.04748,1.0465,1.04661
2025-02-25 10:15:00+00:00,1.04661,1.04715,1.04654,1.04691
2025-02-25 10:30:00+00:00,1.04693,1.04726,1.04678,1.047143
2025-02-25 10:45:00+00:00,1.047213,1.0474,1.0469,1.047287
2025-02-25 11:00:00+00:00,1.047273,1.04773,1.04711,1.04763
2025-02-25 11:15:00+00:00,1.04764,1.04799,1.0476,1.04777
2025-02-25 11:30:00+00:00,1.047765,1.04897,1.04765,1.04864
2025-02-25 11:45:00+00:00,1.04862,1.049,1.04847,1.048952
